,season,week,primetime,playoff_game,score_home,score_away,point_spread,total_line,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,result,cover_result,total_result,winner_id,loser_id,cover_map,clusters,cluster
0,2016,1,1,0,21,20,-3.0,40.5,0,82,2,0,1,41,0,1,1,1,10,5,10,1,purple
1,2016,1,1,0,21,23,-8.5,44.0,0,72,0,1,-2,44,1,0,0,2,22,1,22,1,purple
2,2016,1,0,0,24,31,-2.5,47.0,0,72,0,1,-7,55,1,0,0,1,30,2,30,1,purple
3,2016,1,0,0,13,7,-3.0,44.5,0,82,7,0,6,20,1,1,1,0,3,4,3,1,purple
4,2016,1,0,0,19,20,-1.0,47.5,0,72,0,1,-1,39,0,0,2,0,24,9,0,1,purple
5,2016,1,0,0,23,14,-5.5,42.5,0,72,0,1,9,37,1,1,1,0,13,6,13,1,purple
6,2016,1,0,0,35,39,-2.5,51.5,0,72,0,1,-4,74,1,0,0,1,11,14,11,2,blue
7,2016,1,0,0,23,27,-3.5,47.5,0,91,1,0,-4,50,0,0,0,1,12,15,12,1,purple
8,2016,1,0,0,33,27,-6.5,46.0,0,73,7,0,6,60,1,1,0,1,16,17,17,2,blue
9,2016,1,0,0,34,35,-3.0,50.5,0,72,0,1,-1,69,1,0,0,1,19,23,19,2,blue
10,2016,1,0,0,22,23,-1.0,42.0,0,80,9,0,-1,45,0,0,2,1,7,25,0,1,purple
11,2016,1,0,0,29,10,-3.5,41.0,0,83,9,0,19,39,1,1,1,0,26,8,26,2,blue
12,2016,1,0,0,12,10,-10.5,44.0,0,64,2,0,2,22,1,1,0,0,28,20,20,1,purple
13,2016,1,0,0,16,25,-2.5,40.0,0,77,3,0,-9,41,0,0,0,1,21,31,21,1,purple
14,2016,1,1,0,28,0,-2.5,43.5,0,66,17,0,28,28,0,1,1,0,29,18,29,0,pink
15,2016,1,1,0,16,38,-2.5,49.0,0,76,3,0,-22,54,0,0,0,1,27,32,27,1,purple
16,2016,2,1,0,31,37,0.0,40.5,0,54,2,0,-6,68,0,0,0,1,25,4,0,2,blue
17,2016,2,0,0,40,7,-7.0,49.5,0,72,0,1,33,47,1,1,1,0,1,30,1,2,blue
18,2016,2,0,0,46,27,-12.5,44.0,0,85,3,0,19,73,1,1,1,1,5,29,5,2,blue
19,2016,2,0,0,20,25,-4.5,42.0,0,75,5,0,-5,45,0,0,0,1,3,8,3,1,purple
20,2016,2,0,0,34,20,-6.0,47.0,0,86,1,0,14,54,1,1,1,1,10,14,10,2,blue
21,2016,2,0,0,15,16,-6.0,48.0,0,72,0,1,-1,31,1,0,0,0,31,11,31,1,purple
22,2016,2,0,0,19,12,-1.0,42.0,0,72,0,1,7,31,1,1,1,0,13,16,13,1,purple
23,2016,2,0,0,9,3,-5.5,38.0,0,85,4,0,6,12,0,1,1,0,18,28,18,1,purple
24,2016,2,1,0,17,14,-2.0,43.0,0,72,0,1,3,31,0,1,1,0,21,12,21,1,purple
25,2016,2,0,0,31,24,-5.5,42.0,0,78,6,0,7,55,1,1,1,1,22,20,22,2,blue
26,2016,2,0,0,16,13,-4.0,54.5,0,79,5,0,3,29,1,1,0,0,24,23,23,1,purple
27,2016,2,0,0,28,35,-4.0,48.0,0,83,3,0,-7,63,1,0,0,1,2,19,2,2,blue
28,2016,2,0,0,24,16,-3.0,48.0,0,71,3,0,8,40,1,1,1,0,27,7,27,1,purple
29,2016,2,0,0,38,14,-3.0,47.5,0,78,5,0,24,52,1,1,1,1,17,15,17,2,blue
30,2016,2,0,0,23,27,-3.0,47.0,0,84,5,0,-4,50,1,0,0,1,9,32,9,1,purple
31,2016,2,1,0,14,29,-3.0,43.0,0,80,2,0,-15,43,1,0,0,2,26,6,26,1,purple
32,2016,3,1,0,27,0,-1.0,38.5,0,68,3,0,27,27,1,1,1,0,22,13,22,2,blue
33,2016,3,0,0,33,18,-5.0,48.0,0,62,1,0,15,51,0,1,1,1,4,1,4,2,blue
34,2016,3,0,0,10,22,-6.5,42.5,0,84,2,0,-12,32,1,0,0,0,21,5,21,1,purple
35,2016,3,0,0,17,29,-3.5,41.5,0,82,0,0,-12,46,1,0,0,1,10,7,10,1,purple
36,2016,3,1,0,31,17,-6.5,45.0,0,72,0,1,14,48,1,1,1,1,9,6,9,2,blue
37,2016,3,0,0,34,27,-6.5,47.5,0,72,10,0,7,61,1,1,1,1,12,11,12,2,blue
38,2016,3,0,0,26,22,-1.5,51.5,0,72,0,1,4,48,1,1,1,0,14,17,14,2,blue
39,2016,3,0,0,17,19,-2.0,45.0,0,87,4,0,-2,36,0,0,2,0,3,15,0,1,purple
40,2016,3,0,0,24,3,-3.0,44.5,0,65,6,0,21,27,1,1,1,0,16,25,16,0,pink
41,2016,3,0,0,30,24,-10.0,42.5,0,85,7,0,6,54,1,1,0,1,20,8,8,2,blue
42,2016,3,0,0,27,29,-3.5,47.0,0,67,4,0,-2,56,1,0,0,1,32,24,32,2,blue
43,2016,3,0,0,34,3,-4.0,46.5,0,71,1,0,31,37,0,1,1,0,26,27,26,2,blue
44,2016,3,0,0,37,18,-10.5,41.5,0,69,2,0,19,55,1,1,1,1,28,29,28,2,blue
45,2016,3,0,0,32,37,-3.5,40.5,0,89,3,0,-5,69,1,0,0,1,18,30,18,2,blue
46,2016,3,0,0,10,17,-1.5,47.0,0,89,3,0,-7,27,0,0,0,0,19,31,19,1,purple
47,2016,3,1,0,32,45,-3.0,54.5,0,72,0,1,-13,77,1,0,0,1,2,23,2,2,blue
48,2016,4,1,0,22,7,-7.5,46.5,0,59,0,0,15,29,1,1,1,0,7,20,7,0,pink
49,2016,4,0,0,13,17,-10.0,43.5,0,72,0,1,-4,30,1,0,0,0,18,1,18,1,purple
50,2016,4,0,0,48,33,-3.0,48.5,0,72,0,1,15,81,0,1,1,1,2,5,2,2,blue
51,2016,4,0,0,27,28,-3.5,45.0,0,67,0,0,-1,55,1,0,0,1,19,3,19,2,blue
52,2016,4,0,0,17,14,-3.0,48.0,0,64,2,0,3,31,0,1,1,0,6,11,6,1,purple
53,2016,4,0,0,27,20,-3.5,40.0,0,72,0,1,7,47,1,1,1,1,13,31,13,2,blue
54,2016,4,0,0,30,27,-1.0,48.5,1,58,6,0,3,57,0,1,1,1,15,14,15,2,blue
55,2016,4,0,0,0,16,-3.5,41.0,0,56,2,0,-16,16,1,0,0,0,4,22,4,1,purple
56,2016,4,0,0,17,27,-1.0,40.0,0,61,0,0,-10,44,0,0,0,1,28,25,28,1,purple
57,2016,4,1,0,43,14,-3.5,48.5,0,60,0,0,29,57,1,1,1,1,27,16,27,2,blue
58,2016,4,0,0,34,35,-3.5,54.0,0,73,6,0,-1,69,1,0,0,1,23,17,23,2,blue
59,2016,4,0,0,17,24,-1.0,44.0,0,68,8,0,-7,41,0,0,0,0,9,29,9,1,purple
60,2016,4,0,0,7,27,-3.0,42.5,0,89,4,0,-20,34,0,0,0,0,10,30,10,1,purple
61,2016,4,0,0,31,20,-7.5,47.5,0,70,1,0,11,51,1,1,1,1,32,8,32,2,blue
62,2016,4,1,0,24,10,-3.5,42.5,0,72,0,1,14,34,1,1,1,0,21,24,21,1,purple
63,2016,5,1,0,21,33,-3.5,42.5,0,72,7,0,-12,54,0,0,0,1,1,29,1,1,purple
64,2016,5,0,0,10,16,-4.0,44.5,0,61,12,0,-6,26,1,0,0,0,32,3,32,1,purple
65,2016,5,0,0,13,33,-10.0,47.5,0,57,9,0,-20,46,0,0,0,0,22,8,22,1,purple
66,2016,5,0,0,28,14,-2.5,46.0,0,72,0,1,14,42,0,1,1,0,9,7,9,2,blue
67,2016,5,0,0,16,23,-3.5,44.5,0,73,1,0,-7,39,1,0,0,0,2,10,2,1,purple
68,2016,5,0,0,24,23,-3.5,46.0,0,72,0,1,1,47,0,1,1,1,11,26,11,1,purple
69,2016,5,1,0,23,16,-7.0,49.0,0,48,2,0,7,39,1,1,2,0,12,24,0,0,pink
70,2016,5,0,0,29,23,-4.0,47.5,0,72,0,1,6,52,1,1,1,1,14,6,14,2,blue
71,2016,5,0,0,19,30,-2.5,41.5,0,87,5,0,-11,49,0,0,0,1,4,18,4,1,purple
72,2016,5,0,0,17,30,-2.5,44.5,0,87,12,0,-13,47,1,0,0,1,31,20,31,1,purple
73,2016,5,0,0,31,13,-6.0,39.0,0,72,0,1,18,44,1,1,1,1,21,13,21,2,blue
74,2016,5,0,0,34,31,-3.5,50.5,0,78,4,0,3,65,1,1,0,1,19,17,17,2,blue
75,2016,5,0,0,31,13,-10.0,50.0,0,57,6,0,18,44,1,1,1,0,27,25,27,2,blue
76,2016,5,1,0,14,17,-6.0,46.5,0,57,2,0,-3,31,1,0,0,0,30,5,30,1,purple
77,2016,6,1,0,21,13,-3.0,44.0,0,69,6,0,8,34,0,1,1,0,17,10,17,1,purple
