team,team_abbreviations,stadium_name,stadium_location,stadium_type,stadium_address,stadium_capacity,stadium_latitude,stadium_longitude,stadium_elevation
Pittsburgh Steelers,PIT,Acrisure Stadium,"Pittsburgh, PA",outdoor,"100 Art Rooney Ave, Pittsburgh, PA 15212","65,500",40.4846,-80.2144,730
Las Vegas Raiders,LVR,Allegiant Stadium,"Paradise, NV",indoor,"3333 Al Davis Way, Las Vegas, NV 89118","65,000",36.09075,-115.183722,2001
Neutral,,Allianz Arena,"Munich, Germany",outdoor,"Werner-Heisenberg-Allee 25, 80939 München, Germany","75,024",48.218967,11.623746,1719
Kansas City Chiefs,KC,Arrowhead Stadium,"Kansas City, MO",outdoor,"1 Arrowhead Dr, Kansas City, MO 64129","76,416",39.048889,-94.483889,1024
Dallas Cowboys,DAL,AT&T Stadium,"Arlington, TX",indoor,"1 AT&T Way, Arlington, TX 76011","80,000",32.747778,-97.092778,607
Carolina Panthers,CAR,Bank of America Stadium,"Charlotte, NC",outdoor,"800 S Mint St, Charlotte, NC 28202","73,778",35.225833,-80.852778,751
New Orleans Saints,NO,Caesars Superdome,"New Orleans, LA",indoor,"1500 Sugar Bowl Dr, New Orleans, LA 70112","76,468",29.9511,-90.08197,3
Los Angeles Chargers,LAC,Dignity Health Sports Park,"Carson, CA",outdoor,"18400 S Avalon Blvd, Carson, CA 90746","27,000",33.864,-118.261,10
Denver Broncos,DEN,Empower Field at Mile High,"Denver, CO",outdoor,"1701 Bryant St, Denver, CO 80204","76,125",39.743889,-105.02,5280
Neutral,,Estadio Azteca,"Mexico City, Mexico",outdoor,"Calz. de Tlalpan 3465, Sta. ê_rsula Coapa, Coyoac_†çn, 04650 Ciudad de MÅ_xico, D.F., Mexico","83,264",19.302911,-99.150442,7200
Jacksonville Jaguars,JAX,EverBank Field,"Jacksonville, FL",outdoor,"1 Everbank Field Dr, Jacksonville, FL 32202","67,264",30.23333,-81.66667,10
Washington Commanders,WAS,FedEx Field,"Landover, MD",outdoor,"1600 Fedex Way, Hyattsville, MD 20785","79,000",38.907778,-76.864444,265
Cleveland Browns,CLE,FirstEnergy Stadium,"Cleveland, OH",outdoor,"100 Alfred Lerner Way, Cleveland, OH 44114","68,000",41.506111,-81.699444,584
Detroit Lions,DET,Ford Field,"Detroit, MI",indoor,"2000 Brush St, Detroit, MI 48226","65,000",42.34,-83.045556,581
Neutral,,Frankfurt Stadium,"Frankfurt, Germany",indoor,"Mörfelder Landstraße 362, 60528 Frankfurt am Main, Germany","48,000",50.0686,8.6455,325
New England Patriots,NE,Gillette Stadium,"Foxborough, MA",outdoor,"1 Patriot Pl, Foxborough, MA 02035","68,756",42.091,-71.264,289
Miami Dolphins,MIA,Hard Rock Stadium,"Miami Gardens, FL",outdoor,"347 Don Shula Dr, Miami Gardens, FL 33056","65,326",25.958056,-80.238889,7
Buffalo Bills,BUF,Highmark Stadium,"Orchard Park, NY",outdoor,"1 Bills Dr, Orchard Park, NY 14127","73,967",42.889,-78.8901,178
Green Bay Packers,GB,Lambeau Field,"Green Bay, WI",outdoor,"1265 Lombardi Ave, Green Bay, WI 54304","80,735",44.501389,-88.062222,640
San Francisco 49ers,SF,Levi's Stadium,"Santa Clara, CA",outdoor,"4900 Marie P. DeBartolo Way, Santa Clara, CA 95054","68,500",37.403,-121.97,17
