season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,total_result,result,cover_result,team_favored_id_int,spread_category,winner,loser,cover_id
2016,1,3,8:30 PM,1,0,DEN,21,20,CAR,CAR,-3,40.5,Empower Field at Mile High,"Denver, Colorado",0,82,2,0,1,41,0,1,1,1,5,Low Spread,DEN,CAR,DEN
2016,1,6,8:30 PM,1,0,ARI,21,23,NE,ARI,-8.5,44,State Farm Stadium,"Glendale, Arizona",0,72,0,1,-2,44,1,2,0,0,1,High Spread,NE,ARI,NE
2016,1,6,1:00 PM,0,0,ATL,24,31,TB,ATL,-2.5,47,Mercedes-Benz Stadium,"Atlanta, Georgia",0,72,0,1,-7,55,1,1,0,0,2,Low Spread,TB,ATL,TB
2016,1,6,1:00 PM,0,0,BAL,13,7,BUF,BAL,-3,44.5,M&T Bank Stadium,"Baltimore, Maryland",0,82,7,0,6,20,1,0,1,1,3,Low Spread,BAL,BUF,BAL
2016,1,6,4:30 PM,0,0,DAL,19,20,NYG,NYG,-1,47.5,AT&T Stadium,"Arlington, Texas",0,72,0,1,-1,39,0,0,0,2,24,Low Spread,NYG,DAL,Push
2016,1,6,1:00 PM,0,0,HOU,23,14,CHI,HOU,-5.5,42.5,NRG Stadium,"Houston, Texas",0,72,0,1,9,37,1,0,1,1,13,Medium Spread,HOU,CHI,HOU
2016,1,6,4:30 PM,0,0,IND,35,39,DET,IND,-2.5,51.5,Lucas Oil Stadium,"Indianapolis, Indiana",0,72,0,1,-4,74,1,1,0,0,14,Low Spread,DET,IND,DET
2016,1,6,1:00 PM,0,0,JAX,23,27,GB,GB,-3.5,47.5,EverBank Field,"Jacksonville, Florida",0,91,1,0,-4,50,0,1,0,0,12,Medium Spread,GB,JAX,GB
2016,1,6,1:00 PM,0,0,KC,33,27,LAC,KC,-6.5,46,Arrowhead Stadium,"Kansas City, Missouri",0,73,7,0,6,60,1,1,1,0,16,Medium Spread,KC,LAC,LAC
2016,1,6,1:00 PM,0,0,NO,34,35,LVR,NO,-3,50.5,Caesars Superdome,"New Orleans, Louisiana",0,72,0,1,-1,69,1,1,0,0,23,Low Spread,LVR,NO,LVR
2016,1,6,1:00 PM,0,0,NYJ,22,23,CIN,CIN,-1,42,MetLife Stadium,"East Rutherford, New Jersey",0,80,9,0,-1,45,0,1,0,2,7,Low Spread,CIN,NYJ,Push
2016,1,6,1:00 PM,0,0,PHI,29,10,CLE,PHI,-3.5,41,Lincoln Financial Field,"Philadelphia, Pennsylvania",0,83,9,0,19,39,1,0,1,1,26,Medium Spread,PHI,CLE,PHI
2016,1,6,4:00 PM,0,0,SEA,12,10,MIA,SEA,-10.5,44,Lumen Field,"Seattle, Washington",0,64,2,0,2,22,1,0,1,0,29,High Spread,SEA,MIA,MIA
2016,1,6,1:00 PM,0,0,TEN,16,25,MIN,MIN,-2.5,40,Nissan Stadium,"Nashville, Tennessee",0,77,3,0,-9,41,0,1,0,0,21,Low Spread,MIN,TEN,MIN
2016,1,0,10:30 PM,1,0,SF,28,0,LAR,LAR,-2.5,43.5,Levi's Stadium,"Santa Clara, California",0,66,17,0,28,28,0,0,1,1,18,Low Spread,SF,LAR,SF
2016,1,0,7:00 PM,1,0,WAS,16,38,PIT,PIT,-2.5,49,FedEx Field,"Landover, Maryland",0,76,3,0,-22,54,0,1,0,0,28,Low Spread,PIT,WAS,PIT
2016,2,3,8:30 PM,1,0,BUF,31,37,NYJ,PICK,0,40.5,New Era Field,"Orchard Park, New York",0,54,2,0,-6,68,0,1,0,0,27,Low Spread,NYJ,BUF,
2016,2,6,1:00 PM,0,0,ARI,40,7,TB,ARI,-7,49.5,State Farm Stadium,"Glendale, Arizona",0,72,0,1,33,47,1,0,1,1,1,Medium Spread,ARI,TB,ARI
2016,2,6,1:00 PM,0,0,CAR,46,27,SF,CAR,-12.5,44,Bank of America Stadium,"Charlotte, North Carolina",0,85,3,0,19,73,1,1,1,1,5,High Spread,CAR,SF,CAR
2016,2,6,1:00 PM,0,0,CLE,20,25,BAL,BAL,-4.5,42,FirstEnergy Stadium,"Cleveland, Ohio",0,75,5,0,-5,45,0,1,0,0,3,Medium Spread,BAL,CLE,BAL
2016,2,6,4:30 PM,0,0,DEN,34,20,IND,DEN,-6,47,Empower Field at Mile High,"Denver, Colorado",0,86,1,0,14,54,1,1,1,1,10,Medium Spread,DEN,IND,DEN
2016,2,6,1:00 PM,0,0,DET,15,16,TEN,DET,-6,48,Ford Field,"Detroit, Michigan",0,72,0,1,-1,31,1,0,0,0,11,Medium Spread,TEN,DET,TEN
2016,2,6,1:00 PM,0,0,HOU,19,12,KC,HOU,-1,42,NRG Stadium,"Houston, Texas",0,72,0,1,7,31,1,0,1,1,13,Low Spread,HOU,KC,HOU
2016,2,6,4:00 PM,0,0,LAR,9,3,SEA,SEA,-5.5,38,Los Angeles Memorial Coliseum,"Los Angeles, California",0,85,4,0,6,12,0,0,1,1,29,Medium Spread,LAR,SEA,LAR
2016,2,6,8:30 PM,1,0,MIN,17,14,GB,GB,-2,43,U.S. Bank Stadium,"Minneapolis, Minnesota",0,72,0,1,3,31,0,0,1,1,12,Low Spread,MIN,GB,MIN
2016,2,6,1:00 PM,0,0,NE,31,24,MIA,NE,-5.5,42,Gillette Stadium,"Foxboro, Massachusetts",0,78,6,0,7,55,1,1,1,1,22,Medium Spread,NE,MIA,NE
2016,2,6,1:00 PM,0,0,NYG,16,13,NO,NYG,-4,54.5,MetLife Stadium,"East Rutherford, New Jersey",0,79,5,0,3,29,1,0,1,0,24,Medium Spread,NYG,NO,NO
2016,2,6,4:30 PM,0,0,LVR,28,35,ATL,LVR,-4,48,Oakland Coliseum,"Oakland, California",0,83,3,0,-7,63,1,1,0,0,19,Medium Spread,ATL,LVR,ATL
2016,2,6,1:00 PM,0,0,PIT,24,16,CIN,PIT,-3,48,Acrisure Stadium,"Pittsburgh, Pennsylvania",0,71,3,0,8,40,1,0,1,1,28,Low Spread,PIT,CIN,PIT
2016,2,6,4:30 PM,0,0,LAC,38,14,JAX,LAC,-3,47.5,Qualcomm Stadium,"San Diego, California",0,78,5,0,24,52,1,1,1,1,17,Low Spread,LAC,JAX,LAC
2016,2,6,1:00 PM,0,0,WAS,23,27,DAL,WAS,-3,47,FedEx Field,"Landover, Maryland",0,84,5,0,-4,50,1,1,0,0,33,Low Spread,DAL,WAS,DAL
2016,2,0,8:30 PM,1,0,CHI,14,29,PHI,CHI,-3,43,Soldier Field,"Chicago, Illinois",0,80,2,0,-15,43,1,2,0,0,6,Low Spread,PHI,CHI,PHI
2016,3,3,8:30 PM,1,0,NE,27,0,HOU,NE,-1,38.5,Gillette Stadium,"Foxboro, Massachusetts",0,68,3,0,27,27,1,0,1,1,22,Low Spread,NE,HOU,NE
2016,3,6,1:00 PM,0,0,BUF,33,18,ARI,ARI,-5,48,New Era Field,"Orchard Park, New York",0,62,1,0,15,51,0,1,1,1,1,Medium Spread,BUF,ARI,BUF
