,Unnamed: 0,game_date,season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_capacity,stadium_latitude,stadium_longitude,stadium_elevation,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,total_result,result,cover_result,team_favored_id_int,spread_category,winner,loser,cover_id
0,0,9/8/16,2016,1,3,8:30 PM,1,0,DEN,21,20,CAR,CAR,-3.0,40.5,Empower Field at Mile High,"Denver, Colorado","76,125",39.743889,-105.02,5280.0,0,82,2,0,1,41,0,1,1,1,5,Low Spread,DEN,CAR,DEN
1,1,9/11/16,2016,1,6,8:30 PM,1,0,ARI,21,23,NE,ARI,-8.5,44.0,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068.0,0,72,0,1,-2,44,1,2,0,0,1,High Spread,NE,ARI,NE
2,2,9/11/16,2016,1,6,1:00 PM,0,0,ATL,24,31,TB,ATL,-2.5,47.0,Mercedes-Benz Stadium,"Atlanta, Georgia",71000,33.755556,-84.4,1050.0,0,72,0,1,-7,55,1,1,0,0,2,Low Spread,TB,ATL,TB
3,3,9/11/16,2016,1,6,1:00 PM,0,0,BAL,13,7,BUF,BAL,-3.0,44.5,M&T Bank Stadium,"Baltimore, Maryland","71,008",39.278056,-76.622778,50.0,0,82,7,0,6,20,1,0,1,1,3,Low Spread,BAL,BUF,BAL
4,4,9/11/16,2016,1,6,4:30 PM,0,0,DAL,19,20,NYG,NYG,-1.0,47.5,AT&T Stadium,"Arlington, Texas","80,000",32.747778,-97.092778,607.0,0,72,0,1,-1,39,0,0,0,2,24,Low Spread,NYG,DAL,Push
5,5,9/11/16,2016,1,6,1:00 PM,0,0,HOU,23,14,CHI,HOU,-5.5,42.5,NRG Stadium,"Houston, Texas","71,500",29.684722,-95.410833,43.0,0,72,0,1,9,37,1,0,1,1,13,Medium Spread,HOU,CHI,HOU
6,6,9/11/16,2016,1,6,4:30 PM,0,0,IND,35,39,DET,IND,-2.5,51.5,Lucas Oil Stadium,"Indianapolis, Indiana","63,000",39.760056,-86.162806,717.0,0,72,0,1,-4,74,1,1,0,0,14,Low Spread,DET,IND,DET
7,7,9/11/16,2016,1,6,1:00 PM,0,0,JAX,23,27,GB,GB,-3.5,47.5,EverBank Field,"Jacksonville, Florida","67,264",30.23333,-81.66667,10.0,0,91,1,0,-4,50,0,1,0,0,12,Medium Spread,GB,JAX,GB
8,8,9/11/16,2016,1,6,1:00 PM,0,0,KC,33,27,LAC,KC,-6.5,46.0,Arrowhead Stadium,"Kansas City, Missouri","76,416",39.048889,-94.483889,1024.0,0,73,7,0,6,60,1,1,1,0,16,Medium Spread,KC,LAC,LAC
9,9,9/11/16,2016,1,6,1:00 PM,0,0,NO,34,35,LVR,NO,-3.0,50.5,Caesars Superdome,"New Orleans, Louisiana","76,468",29.9511,-90.08197,3.0,0,72,0,1,-1,69,1,1,0,0,23,Low Spread,LVR,NO,LVR
10,10,9/11/16,2016,1,6,1:00 PM,0,0,NYJ,22,23,CIN,CIN,-1.0,42.0,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3.0,0,80,9,0,-1,45,0,1,0,2,7,Low Spread,CIN,NYJ,Push
11,11,9/11/16,2016,1,6,1:00 PM,0,0,PHI,29,10,CLE,PHI,-3.5,41.0,Lincoln Financial Field,"Philadelphia, Pennsylvania","69,176",39.900833,-75.1675,30.0,0,83,9,0,19,39,1,0,1,1,26,Medium Spread,PHI,CLE,PHI
12,12,9/11/16,2016,1,6,4:00 PM,0,0,SEA,12,10,MIA,SEA,-10.5,44.0,Lumen Field,"Seattle, Washington","67,000",47.6523,-122.4095,20.0,0,64,2,0,2,22,1,0,1,0,29,High Spread,SEA,MIA,MIA
13,13,9/11/16,2016,1,6,1:00 PM,0,0,TEN,16,25,MIN,MIN,-2.5,40.0,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430.0,0,77,3,0,-9,41,0,1,0,0,21,Low Spread,MIN,TEN,MIN
14,14,9/12/16,2016,1,0,10:30 PM,1,0,SF,28,0,LAR,LAR,-2.5,43.5,Levi's Stadium,"Santa Clara, California","68,500",37.403,-121.97,17.0,0,66,17,0,28,28,0,0,1,1,18,Low Spread,SF,LAR,SF
15,15,9/12/16,2016,1,0,7:00 PM,1,0,WAS,16,38,PIT,PIT,-2.5,49.0,FedEx Field,"Landover, Maryland","79,000",38.907778,-76.864444,265.0,0,76,3,0,-22,54,0,1,0,0,28,Low Spread,PIT,WAS,PIT
16,16,9/15/16,2016,2,3,8:30 PM,1,0,BUF,31,37,NYJ,PICK,0.0,40.5,Highmark Stadium,"Orchard Park, New York","73,967",42.889,-78.8901,178.0,0,54,2,0,-6,68,0,1,0,0,27,Low Spread,NYJ,BUF,
17,17,9/18/16,2016,2,6,1:00 PM,0,0,ARI,40,7,TB,ARI,-7.0,49.5,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068.0,0,72,0,1,33,47,1,0,1,1,1,Medium Spread,ARI,TB,ARI
18,18,9/18/16,2016,2,6,1:00 PM,0,0,CAR,46,27,SF,CAR,-12.5,44.0,Bank of America Stadium,"Charlotte, North Carolina","73,778",35.225833,-80.852778,751.0,0,85,3,0,19,73,1,1,1,1,5,High Spread,CAR,SF,CAR
19,19,9/18/16,2016,2,6,1:00 PM,0,0,CLE,20,25,BAL,BAL,-4.5,42.0,FirstEnergy Stadium,"Cleveland, Ohio","68,000",41.506111,-81.699444,584.0,0,75,5,0,-5,45,0,1,0,0,3,Medium Spread,BAL,CLE,BAL
20,20,9/18/16,2016,2,6,4:30 PM,0,0,DEN,34,20,IND,DEN,-6.0,47.0,Empower Field at Mile High,"Denver, Colorado","76,125",39.743889,-105.02,5280.0,0,86,1,0,14,54,1,1,1,1,10,Medium Spread,DEN,IND,DEN
21,21,9/18/16,2016,2,6,1:00 PM,0,0,DET,15,16,TEN,DET,-6.0,48.0,Ford Field,"Detroit, Michigan","65,000",42.34,-83.045556,581.0,0,72,0,1,-1,31,1,0,0,0,11,Medium Spread,TEN,DET,TEN
22,22,9/18/16,2016,2,6,1:00 PM,0,0,HOU,19,12,KC,HOU,-1.0,42.0,NRG Stadium,"Houston, Texas","71,500",29.684722,-95.410833,43.0,0,72,0,1,7,31,1,0,1,1,13,Low Spread,HOU,KC,HOU
23,23,9/18/16,2016,2,6,4:00 PM,0,0,LAR,9,3,SEA,SEA,-5.5,38.0,Los Angeles Memorial Coliseum,"Los Angeles, California","93,605",34.014167,-118.287778,185.0,0,85,4,0,6,12,0,0,1,1,29,Medium Spread,LAR,SEA,LAR
24,24,9/18/16,2016,2,6,8:30 PM,1,0,MIN,17,14,GB,GB,-2.0,43.0,U.S. Bank Stadium,"Minneapolis, Minnesota","66,200",44.973889,-93.258056,840.0,0,72,0,1,3,31,0,0,1,1,12,Low Spread,MIN,GB,MIN
25,25,9/18/16,2016,2,6,1:00 PM,0,0,NE,31,24,MIA,NE,-5.5,42.0,Gillette Stadium,"Foxboro, Massachusetts","68,756",42.091,-71.264,289.0,0,78,6,0,7,55,1,1,1,1,22,Medium Spread,NE,MIA,NE
26,26,9/18/16,2016,2,6,1:00 PM,0,0,NYG,16,13,NO,NYG,-4.0,54.5,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3.0,0,79,5,0,3,29,1,0,1,0,24,Medium Spread,NYG,NO,NO
27,27,9/18/16,2016,2,6,4:30 PM,0,0,LVR,28,35,ATL,LVR,-4.0,48.0,Oakland Coliseum,"Oakland, California","53,250",37.751667,-122.200556,21.0,0,83,3,0,-7,63,1,1,0,0,19,Medium Spread,ATL,LVR,ATL
28,28,9/18/16,2016,2,6,1:00 PM,0,0,PIT,24,16,CIN,PIT,-3.0,48.0,Acrisure Stadium,"Pittsburgh, Pennsylvania","65,500",40.4846,-80.2144,730.0,0,71,3,0,8,40,1,0,1,1,28,Low Spread,PIT,CIN,PIT
29,29,9/18/16,2016,2,6,4:30 PM,0,0,LAC,38,14,JAX,LAC,-3.0,47.5,Qualcomm Stadium,"San Diego, California","71,500",32.783056,-117.119444,13.0,0,78,5,0,24,52,1,1,1,1,17,Low Spread,LAC,JAX,LAC
30,30,9/18/16,2016,2,6,1:00 PM,0,0,WAS,23,27,DAL,WAS,-3.0,47.0,FedEx Field,"Landover, Maryland","79,000",38.907778,-76.864444,265.0,0,84,5,0,-4,50,1,1,0,0,33,Low Spread,DAL,WAS,DAL
31,31,9/19/16,2016,2,0,8:30 PM,1,0,CHI,14,29,PHI,CHI,-3.0,43.0,Soldier Field,"Chicago, Illinois","61,500",41.8623,-87.6167,594.0,0,80,2,0,-15,43,1,2,0,0,6,Low Spread,PHI,CHI,PHI
32,32,9/22/16,2016,3,3,8:30 PM,1,0,NE,27,0,HOU,NE,-1.0,38.5,Gillette Stadium,"Foxboro, Massachusetts","68,756",42.091,-71.264,289.0,0,68,3,0,27,27,1,0,1,1,22,Low Spread,NE,HOU,NE
33,33,9/25/16,2016,3,6,1:00 PM,0,0,BUF,33,18,ARI,ARI,-5.0,48.0,Highmark Stadium,"Orchard Park, New York","73,967",42.889,-78.8901,178.0,0,62,1,0,15,51,0,1,1,1,1,Medium Spread,BUF,ARI,BUF
34,34,9/25/16,2016,3,6,1:00 PM,0,0,CAR,10,22,MIN,CAR,-6.5,42.5,Bank of America Stadium,"Charlotte, North Carolina","73,778",35.225833,-80.852778,751.0,0,84,2,0,-12,32,1,0,0,0,5,Medium Spread,MIN,CAR,MIN
35,35,9/25/16,2016,3,6,1:00 PM,0,0,CIN,17,29,DEN,CIN,-3.5,41.5,Paycor Stadium,"Cincinatti, Ohio","65,515",39.1,-84.51667,482.0,0,82,0,0,-12,46,1,1,0,0,7,Medium Spread,DEN,CIN,DEN
36,36,9/25/16,2016,3,6,8:30 PM,1,0,DAL,31,17,CHI,DAL,-6.5,45.0,AT&T Stadium,"Arlington, Texas","80,000",32.747778,-97.092778,607.0,0,72,0,1,14,48,1,1,1,1,9,Medium Spread,DAL,CHI,DAL
37,37,9/25/16,2016,3,6,1:00 PM,0,0,GB,34,27,DET,GB,-6.5,47.5,Lambeau Field,"Green Bay, Wisconsin","80,735",44.501389,-88.062222,640.0,0,72,10,0,7,61,1,1,1,1,12,Medium Spread,GB,DET,GB
38,38,9/25/16,2016,3,6,4:30 PM,0,0,IND,26,22,LAC,IND,-1.5,51.5,Lucas Oil Stadium,"Indianapolis, Indiana","63,000",39.760056,-86.162806,717.0,0,72,0,1,4,48,1,0,1,1,14,Low Spread,IND,LAC,IND
39,39,9/25/16,2016,3,6,1:00 PM,0,0,JAX,17,19,BAL,BAL,-2.0,45.0,EverBank Field,"Jacksonville, Florida","67,264",30.23333,-81.66667,10.0,0,87,4,0,-2,36,0,0,0,2,3,Low Spread,BAL,JAX,Push
40,40,9/25/16,2016,3,6,4:30 PM,0,0,KC,24,3,NYJ,KC,-3.0,44.5,Arrowhead Stadium,"Kansas City, Missouri","76,416",39.048889,-94.483889,1024.0,0,65,6,0,21,27,1,0,1,1,16,Low Spread,KC,NYJ,KC
41,41,9/25/16,2016,3,6,1:00 PM,0,0,MIA,30,24,CLE,MIA,-10.0,42.5,Hard Rock Stadium,"Miami Gardens, Florida","65,326",25.958056,-80.238889,7.0,0,85,7,0,6,54,1,1,1,0,20,High Spread,MIA,CLE,CLE
42,42,9/25/16,2016,3,6,1:00 PM,0,0,NYG,27,29,WAS,NYG,-3.5,47.0,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3.0,0,67,4,0,-2,56,1,1,0,0,24,Medium Spread,WAS,NYG,WAS
43,43,9/25/16,2016,3,6,4:30 PM,0,0,PHI,34,3,PIT,PIT,-4.0,46.5,Lincoln Financial Field,"Philadelphia, Pennsylvania","69,176",39.900833,-75.1675,30.0,0,71,1,0,31,37,0,0,1,1,28,Medium Spread,PHI,PIT,PHI
44,44,9/25/16,2016,3,6,4:00 PM,0,0,SEA,37,18,SF,SEA,-10.5,41.5,Lumen Field,"Seattle, Washington","67,000",47.6523,-122.4095,20.0,0,69,2,0,19,55,1,1,1,1,29,High Spread,SEA,SF,SEA
45,45,9/25/16,2016,3,6,4:00 PM,0,0,TB,32,37,LAR,TB,-3.5,40.5,Raymond James Stadium,"Tampa, Florida","65,890",27.975833,-82.503333,35.0,0,89,3,0,-5,69,1,1,0,0,31,Medium Spread,LAR,TB,LAR
46,46,9/25/16,2016,3,6,1:00 PM,0,0,TEN,10,17,LVR,LVR,-1.5,47.0,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430.0,0,89,3,0,-7,27,0,0,0,0,19,Low Spread,LVR,TEN,LVR
47,47,9/26/16,2016,3,0,8:30 PM,1,0,NO,32,45,ATL,NO,-3.0,54.5,Caesars Superdome,"New Orleans, Louisiana","76,468",29.9511,-90.08197,3.0,0,72,0,1,-13,77,1,1,0,0,23,Low Spread,ATL,NO,ATL
48,48,9/29/16,2016,4,3,8:30 PM,1,0,CIN,22,7,MIA,CIN,-7.5,46.5,Paycor Stadium,"Cincinatti, Ohio","65,515",39.1,-84.51667,482.0,0,59,0,0,15,29,1,0,1,1,7,Medium Spread,CIN,MIA,CIN
49,49,10/2/16,2016,4,6,4:30 PM,0,0,ARI,13,17,LAR,ARI,-10.0,43.5,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068.0,0,72,0,1,-4,30,1,0,0,0,1,High Spread,LAR,ARI,LAR
50,50,10/2/16,2016,4,6,1:00 PM,0,0,ATL,48,33,CAR,CAR,-3.0,48.5,Mercedes-Benz Stadium,"Atlanta, Georgia",71000,33.755556,-84.4,1050.0,0,72,0,1,15,81,0,1,1,1,5,Low Spread,ATL,CAR,ATL
51,51,10/2/16,2016,4,6,1:00 PM,0,0,BAL,27,28,LVR,BAL,-3.5,45.0,M&T Bank Stadium,"Baltimore, Maryland","71,008",39.278056,-76.622778,50.0,0,67,0,0,-1,55,1,1,0,0,3,Medium Spread,LVR,BAL,LVR
