team_name,team_name_short,team_id,team_conference,team_division
Arizona Cardinals,Cardinals,ARI,NFC,NFC West
Atlanta Falcons,Falcons,ATL,NFC,NFC South
Baltimore Ravens,Ravens,BAL,AFC,AFC North
Buffalo Bills,Bills,BUF,AFC,AFC East
Carolina Panthers,Panthers,CAR,NFC,NFC South
Chicago Bears,Bears,CHI,NFC,NFC North
Cincinnati Bengals,Bengals,CIN,AFC,AFC North
Cleveland Browns,Browns,CLE,AFC,AFC North
Dallas Cowboys,Cowboys,DAL,NFC,NFC East
Denver Broncos,Broncos,DEN,AFC,AFC West
Detroit Lions,Lions,DET,NFC,NFC North
Green Bay Packers,Packers,GB,NFC,NFC North
Houston Texans,Texans,HOU,AFC,AFC South
Indianapolis Colts,Colts,IND,AFC,AFC South
Jacksonville Jaguars,Jaguars,JAX,AFC,AFC South
Kansas City Chiefs,Chiefs,KC,AFC,AFC West
Las Vegas Raiders,Raiders,LVR,AFC,AFC West
Los Angeles Chargers,Chargers,LAC,AFC,AFC West
Los Angeles Rams,Rams,LAR,NFC,NFC West
Miami Dolphins,Dolphins,MIA,AFC,AFC East
Minnesota Vikings,Vikings,MIN,NFC,NFC North
New England Patriots,Patriots,NE,AFC,AFC East
New Orleans Saints,Saints,NO,NFC,NFC South
New York Giants,Giants,NYG,NFC,NFC East
New York Jets,Jets,NYJ,NFC,AFC East
Philadelphia Eagles,Eagles,PHI,NFC,NFC East
Pittsburgh Steelers,Steelers,PIT,AFC,AFC North
San Francisco 49ers,49ers,SF,NFC,NFC West
Seattle Seahawks,Seahawks,SEA,NFC,NFC West
Tampa Bay Buccaneers,Buccaneers,TB,NFC,NFC South
Tennessee Titans,Titans,TEN,AFC,AFC South
Washington Commanders,Washington,WAS,NFC,NFC East
